Category,Realdash Name,Units,Target ID,id,type,unit,name,desc,Idle Expected,Cruise Expected,WOT Expected,Accessport Monitor,match_status,match_score,match_name,candidate_match_name,candidate_match_score
BODY ELECTRONICS,Steering Wheel DPAD Back,On/Off,199,,,,,,,,,,UNMATCHED,,,Power Steering Switch,0.49
BODY ELECTRONICS,Steering Wheel DPAD Down,On/Off,197,,,,,,,,,,UNMATCHED,,,Power Steering Switch,0.49
BODY ELECTRONICS,Steering Wheel DPAD Left,On/Off,194,,,,,,,,,,UNMATCHED,,,Power Steering Switch,0.49
BODY ELECTRONICS,Steering Wheel DPAD OK,On/Off,198,,,,,,,,,,UNMATCHED,,,Power Steering Switch,0.51
BODY ELECTRONICS,Steering Wheel DPAD Right,On/Off,196,,,,,,,,,,UNMATCHED,,,Tumble Valve Position Sensor Right,0.51
BODY ELECTRONICS,Steering Wheel DPAD Up,On/Off,195,,,,,,,,,,UNMATCHED,,,Power Steering Switch,0.51
BODY ELECTRONICS,Sunlight Sensor,-,811,,,,,,,,,,UNMATCHED,,,Sub Accelerator Sensor,0.63
BODY ELECTRONICS,Tire Pressure Warning Limit,Bar,370,,,,,,,,,,UNMATCHED,,,Atmospheric Pressure,0.54
BODY ELECTRONICS,Traction Control Percentage,%,179,,,,,,,,,,UNMATCHED,,,Cruise Control System Status,0.51
BODY ELECTRONICS,Tripmeter A,Kilometers,311,,,,,,,,,,UNMATCHED,,,Turbo Dynamics Integral (4-byte)*,0.55
BODY ELECTRONICS,Tripmeter B,Kilometers,356,,,,,,,,,,UNMATCHED,,,Estimated odometer,0.53
BODY ELECTRONICS,Trunk Ajar,On/Off,163,,,,,,,,,,UNMATCHED,,,Fine Learning Knock Correction (4-byte)*,0.38
BODY ELECTRONICS,Turn Signal Left,On/Off,160,,,,,,,,,,UNMATCHED,,,Knocking Signal #1,0.60
BODY ELECTRONICS,Turn Signal Right,On/Off,161,,,,,,,,,,UNMATCHED,,,Tumble Valve Position Sensor Right,0.58
BODY ELECTRONICS,Tyre Front Left Battery Low,On/Off,743,,,,,,,,,,UNMATCHED,,,Tumble Valve Position Sensor Left,0.45
BODY ELECTRONICS,Tyre Front Left Leaking,On/Off,739,,,,,,,,,,UNMATCHED,,,Tumble Valve Position Sensor Left,0.50
BODY ELECTRONICS,Tyre Front Left Pressure,Bar,240,,,,,,,,,,UNMATCHED,,,Atmospheric Pressure,0.61
BODY ELECTRONICS,Tyre Front Left Sensor Connected,On/Off,747,,,,,,,,,,UNMATCHED,,,Sub Throttle Sensor,0.55
BODY ELECTRONICS,Tyre Front Left Temperature,Celsius,232,,,,,,,,,,UNMATCHED,,,Fuel Temperature,0.74
BODY ELECTRONICS,Tyre Front Left Wear,-,236,,,,,,,,,,UNMATCHED,,,Tumble Valve Position Sensor Left,0.55
BODY ELECTRONICS,Tyre Front Right Battery Low,On/Off,744,,,,,,,,,,UNMATCHED,,,Tumble Valve Position Sensor Right,0.48
BODY ELECTRONICS,Tyre Front Right Leaking,On/Off,740,,,,,,,,,,UNMATCHED,,,Tumble Valve Position Sensor Right,0.53
BODY ELECTRONICS,Tyre Front Right Pressure,Bar,241,,,,,,,,,,UNMATCHED,,,Atmospheric Pressure,0.68
BODY ELECTRONICS,Tyre Front Right Sensor Connected,On/Off,748,,,,,,,,,,UNMATCHED,,,Tank Sensor Control Valve,0.52
BODY ELECTRONICS,Tyre Front Right Temperature,Celsius,233,,,,,,,,,,UNMATCHED,,,Coolant Temperature,0.72
BODY ELECTRONICS,Tyre Front Right Wear,-,237,,,,,,,,,,UNMATCHED,,,Tumble Valve Position Sensor Right,0.57
BODY ELECTRONICS,Tyre Rear Left Battery Low,On/Off,745,,,,,,,,,,UNMATCHED,,,Rear Defogger Switch,0.48
BODY ELECTRONICS,Tyre Rear Left Leaking,On/Off,741,,,,,,,,,,UNMATCHED,,,A/F Learning #1 A (Stored)*,0.50
BODY ELECTRONICS,Tyre Rear Left Pressure,Bar,242,,,,,,,,,,UNMATCHED,,,Atmospheric Pressure,0.67
BODY ELECTRONICS,Tyre Rear Left Sensor Connected,On/Off,749,,,,,,,,,,UNMATCHED,,,Rear O2 Sensor,0.57
BODY ELECTRONICS,Tyre Rear Left Temperature,Celsius,234,,,,,,,,,,UNMATCHED,,,Fuel Temperature,0.75
BODY ELECTRONICS,Tyre Rear Left Wear,-,238,,,,,,,,,,UNMATCHED,,,Rear Defogger Switch,0.56
BODY ELECTRONICS,Tyre Rear Right Battery Low,On/Off,746,,,,,,,,,,UNMATCHED,,,Target Boost (4-byte)*,0.43
BODY ELECTRONICS,Tyre Rear Right Leaking,On/Off,742,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.44
BODY ELECTRONICS,Tyre Rear Right Pressure,Bar,243,,,,,,,,,,UNMATCHED,,,Atmospheric Pressure,0.65
BODY ELECTRONICS,Tyre Rear Right Sensor Connected,On/Off,758,,,,,,,,,,UNMATCHED,,,Rear O2 Sensor,0.56
BODY ELECTRONICS,Tyre Rear Right Temperature,Celsius,235,,,,,,,,,,UNMATCHED,,,Intake Air Temperature,0.73
BODY ELECTRONICS,Tyre Rear Right Wear,-,239,,,,,,,,,,UNMATCHED,,,Rear Defogger Switch,0.48
BODY ELECTRONICS,Washer Fluid Level,%,176,,,,,,,,,,UNMATCHED,,,Fuel Level,0.57
BODY ELECTRONICS,Windshield Defrost Active,On/Off,809,,,,,,,,,,UNMATCHED,,,Tip-in Enrichment (Last Calculated)*,0.41
BODY ELECTRONICS,Windshield Washer Active,On/Off,181,,,,,,,,,,UNMATCHED,,,Final Fueling Base (4-byte)*,0.45
DEVICE,Acceleration (ABS),g,5,,,,,,,,,,UNMATCHED,,,Accelerator Pedal Angle,0.64
DEVICE,Acceleration X,g,6,,,,,,,,,,UNMATCHED,,,Accelerator Pedal Angle,0.59
DEVICE,Acceleration X (RAW),g,264,,,,,,,,,,UNMATCHED,,,Sub Accelerator Sensor,0.57
DEVICE,Acceleration Y,g,7,,,,,,,,,,UNMATCHED,,,Accelerator Pedal Angle,0.59
DEVICE,Acceleration Y (RAW),g,265,,,,,,,,,,UNMATCHED,,,Sub Accelerator Sensor,0.57
DEVICE,Acceleration Z,g,8,,,,,,,,,,UNMATCHED,,,Accelerator Pedal Angle,0.59
DEVICE,Acceleration Z (RAW),g,266,,,,,,,,,,UNMATCHED,,,Sub Accelerator Sensor,0.57
DEVICE,Audio Volume,-,275,,,,,,,,,,UNMATCHED,,,Rear O2 Sensor,0.48
DEVICE,Battery Charging,On/Off,343,,,,,,,,,,UNMATCHED,,,Battery Voltage,0.65
DEVICE,Battery Level,%,253,,,,,,,,,,UNMATCHED,,,Battery Voltage,0.71
DEVICE,Bluetooth Active,-,276,,,,,,,,,,UNMATCHED,,,Electronic Throttle Control (ETC) Motor Relay,0.56
DEVICE,Connected Device Count,-,365,,,,,,,,,,UNMATCHED,,,Knock Correction Advance (IAM only)*,0.43
DEVICE,Date,Text,211,,,,,,,,,,UNMATCHED,,,IAM (4-byte)*,0.57
DEVICE,GPS Altitude,Meters,21,,,,,,,,,,UNMATCHED,,,Map Ratio (Primary)*,0.48
DEVICE,GPS Connected,On/Off,252,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.50
DEVICE,GPS Date,Text,358,,,,,,,,,,UNMATCHED,,,Map Ratio (Primary)*,0.47
DEVICE,GPS Heading,deg,209,,,,,,,,,,UNMATCHED,,,A/F Learning #1 A (Stored)*,0.48
DEVICE,GPS Latitude,lat,22,,,,,,,,,,UNMATCHED,,,Map Ratio (Alternate)*,0.48
DEVICE,GPS Longitude,lon,23,,,,,,,,,,UNMATCHED,,,Positive Crankcase Ventilation (PCV) Solenoid Valve,0.48
DEVICE,GPS Speed,KPH,24,,,,,,,,,,UNMATCHED,,,Engine Speed,0.67
DEVICE,GPS Time,Text,357,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.48
DEVICE,Heart Rate,-,250,,,,,,,,,,UNMATCHED,,,Target Throttle Plate Position*,0.56
DEVICE,Keyboard Status,-,498,,,,,,,,,,UNMATCHED,,,CL/OL Fueling*,0.59
DEVICE,Navigation: Active,On/Off,344,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.56
DEVICE,Navigation: Distance to Destination,Kilometers,346,,,,,,,,,,UNMATCHED,,,Ignition Base Timing*,0.47
DEVICE,Navigation: Distance to next Waypoint,Kilometers,347,,,,,,,,,,UNMATCHED,,,Ignition Base Timing*,0.46
DEVICE,Navigation: ETA,Text,350,,,,,,,,,,UNMATCHED,,,Ignition Base Timing*,0.53
DEVICE,Navigation: Instruction Current,Text,348,,,,,,,,,,UNMATCHED,,,A/F Sensor #1 Current,0.53
DEVICE,Navigation: Instruction Next,Text,349,,,,,,,,,,UNMATCHED,,,Fuel Consumption (Est.),0.45
DEVICE,Navigation: Maneuver Current,Text,351,,,,,,,,,,UNMATCHED,,,Primary Open Loop Map Enrichment (4-byte)*,0.48
DEVICE,Navigation: Maneuver Next 1,Text,352,,,,,,,,,,UNMATCHED,,,Primary Open Loop Map Enrichment (4-byte)*,0.49
DEVICE,Navigation: Maneuver Next 2,Text,353,,,,,,,,,,UNMATCHED,,,Primary Open Loop Map Enrichment (4-byte)*,0.49
DEVICE,Navigation: Time to Destination,-,345,,,,,,,,,,UNMATCHED,,,Ignition Base Timing*,0.52
DEVICE,Night Mode,-,309,,,,,,,,,,UNMATCHED,,,Test Mode Signal,0.63
DEVICE,Screen Brightness,%,274,,,,,,,,,,UNMATCHED,,,Intake OCV Current Right,0.59
DEVICE,Screen Capture Active,On/Off,491,,,,,,,,,,UNMATCHED,,,Knock Correction Advance Additive*,0.48
DEVICE,System Notification,Text,248,,,,,,,,,,UNMATCHED,,,Cruise Control System Status,0.51
DEVICE,Time (ISO-8601),Text,118,,,,,,,,,,UNMATCHED,,,Estimated odometer,0.39
DEVICE,Time (Local),Text,210,,,,,,,,,,UNMATCHED,,,Engine Load (Calculated),0.50
DEVICE,Weekday,Text,359,,,,,,,,,,UNMATCHED,,,Primary Wastegate Duty Maximum* (4-byte)*,0.48
DEVICE,WiFi Active,-,277,,,,,,,,,,UNMATCHED,,,Knock Correction Advance Additive*,0.52
DEVICE,WiFi Hotspot Active,On/Off,776,,,,,,,,,,UNMATCHED,,,Electronic Throttle Control (ETC) Motor Relay,0.51
CALCULATED,0 to 100 kph (0 to 62 mph) (Seconds),Seconds,208,,,,,,,,,,UNMATCHED,,,Idle Speed Map Selection*,0.39
CALCULATED,1/4 Mile time,Seconds,401,,,,,,,,,,UNMATCHED,,,AT Vehicle ID,0.46
CALCULATED,1/8 Mile time,Seconds,400,,,,,,,,,,UNMATCHED,,,AT Vehicle ID,0.46
CALCULATED,100 to 200 kph (62 to 124 mph) (Seconds),Seconds,738,,,,,,,,,,UNMATCHED,,,Idle Speed Map Selection*,0.37
CALCULATED,60 Feet time,Seconds,399,,,,,,,,,,UNMATCHED,,,Test Mode Signal,0.48
CALCULATED,Acceleration (g from speed changes),-,267,,,,,,,,,,UNMATCHED,,,Accelerator Pedal Angle,0.68
CALCULATED,App Uptime (sec),-,91,,,,,,,,,,UNMATCHED,,,Final Fueling Base (4-byte)*,0.48
CALCULATED,Boost (Bar/Psi),Bar,83,,,,,,,,,,UNMATCHED,,,Boost Error*,0.58
CALCULATED,Boost (Psi),psi,84,,,,,,,,,,UNMATCHED,,,Manifold Relative Sea Level Pressure (4-byte)*,0.71
CALCULATED,City Name,Text,268,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.45
CALCULATED,Current Gear Ratio,-,409,,,,,,,,,,UNMATCHED,,,Intake OCV Current Left,0.59
CALCULATED,Current Speed Limit,On/Off,67,,,,,,,,,,UNMATCHED,,,Intake OCV Current Left,0.57
CALCULATED,Current Trip: Average Fuel Consumption,l/100km,259,,,,,,,,,,UNMATCHED,,,Fuel Consumption (Est.),0.54
CALCULATED,Current Trip: Average Speed,KPH,260,,,,,,,,,,UNMATCHED,,,Engine Speed,0.51
CALCULATED,Current Trip: Cost,-,262,,,,,,,,,,UNMATCHED,,,Intake OCV Current Right,0.63
CALCULATED,Current Trip: Elevation Change,Meters,363,,,,,,,,,,UNMATCHED,,,Intake OCV Current Left,0.48
CALCULATED,Current Trip: Fuel Consumed,-,258,,,,,,,,,,UNMATCHED,,,Fuel Consumption (Est.),0.50
CALCULATED,Current Trip: Max Speed,KPH,261,,,,,,,,,,UNMATCHED,,,Engine Speed,0.51
CALCULATED,Current Trip: Runtime,-,263,,,,,,,,,,UNMATCHED,,,Intake OCV Current Right,0.58
CALCULATED,Current Trip: Session Distance,Kilometers,251,,,,,,,,,,UNMATCHED,,,Knock Correction Advance (IAM only)*,0.50
CALCULATED,Data update rate (values/s),update/s,82,,,,,,,,,,UNMATCHED,,,Intake Air Temperature,0.48
CALCULATED,Datalogging active,On/Off,80,,,,,,,,,,UNMATCHED,,,Knock Correction Advance Additive*,0.47
CALCULATED,Distance to nearest speed camera,Meters,430,,,,,,,,,,UNMATCHED,,,Memorised Cruise Speed,0.50
CALCULATED,Distance until next Service,Kilometers,364,,,,,,,,,,UNMATCHED,,,Cruise Control Set/Coast Switch,0.48
CALCULATED,Duty Cycle 1 (,%?,119,,,,,,,,,,UNMATCHED,,,Injector Duty Cycle,0.61
CALCULATED,Duty Cycle 2 (,%?,120,,,,,,,,,,UNMATCHED,,,Injector Duty Cycle,0.61
CALCULATED,Engine Vacuum,mm/hq,249,,,,,,,,,,UNMATCHED,,,Engine Load (Calculated),0.57
CALCULATED,Engine runtime total (hrs),-,92,,,,,,,,,,UNMATCHED,,,Ignition Total Timing,0.49
CALCULATED,FPS,fps,19,,,,,,,,,,UNMATCHED,,,Engine Speed,0.33
CALCULATED,Fuel Amount (Calculated),liters,222,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.70
CALCULATED,Fuel Consumption (Instant),l/100km,203,P203,Calculated,l/100km,Fuel Consumption (Est.),"P203-Estimated fuel consumption based on MAF, AFR and vehicle speed.",-,-,-,Fuel Economy,MATCHED,0.84,Fuel Consumption (Est.),Fuel Consumption (Est.),0.84
CALCULATED,Fuel Consumption (Liters or Gallons per hour),-,407,,,,,,,,,,UNMATCHED,,,Fuel Consumption (Est.),0.56
CALCULATED,Fuel Level (Calculated),%,223,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.67
CALCULATED,Gear (Master Speed RPM Gear Ratio),gear,25,,,,,,,,,,UNMATCHED,,,Idle Speed Map Selection*,0.50
CALCULATED,Hours until Service,-,775,,,,,,,,,,UNMATCHED,,,Blower Fan Switch,0.44
CALCULATED,Internet Connection Available,On/Off,68,,,,,,,,,,UNMATCHED,,,Knock Correction Advance (IAM only)*,0.54
CALCULATED,Is Daytime,-,389,,,,,,,,,,UNMATCHED,,,IAM (4-byte)*,0.50
CALCULATED,LapTimer: Best Lap,Text,213,,,,,,,,,,UNMATCHED,,,Global Timing User Adjustment Value,0.45
CALCULATED,LapTimer: Current Lap,Text,212,,,,,,,,,,UNMATCHED,,,Intake OCV Current Left,0.55
CALCULATED,LapTimer: Current Lap Number,-,227,,,,,,,,,,UNMATCHED,,,Intake OCV Current Left,0.51
CALCULATED,LapTimer: Diff to Best,-,219,,,,,,,,,,UNMATCHED,,,Idle Speed Map Selection*,0.41
CALCULATED,LapTimer: Distance to nearest track,KPH,221,,,,,,,,,,UNMATCHED,,,Cruise Control Set/Coast Switch,0.45
CALCULATED,LapTimer: Last Lap,Text,225,,,,,,,,,,UNMATCHED,,,Global Timing User Adjustment Value,0.49
CALCULATED,LapTimer: Nearest Track Name,Text,220,,,,,,,,,,UNMATCHED,,,Rear O2 Sensor Rich Signal,0.43
CALCULATED,LapTimer: Number of Laps,-,226,,,,,,,,,,UNMATCHED,,,Global Timing User Adjustment Value,0.41
CALCULATED,LapTimer: Previous Lap (1),Text,214,,,,,,,,,,UNMATCHED,,,Map Ratio (Primary)*,0.44
CALCULATED,LapTimer: Previous Lap (2),Text,215,,,,,,,,,,UNMATCHED,,,Map Ratio (Primary)*,0.44
CALCULATED,LapTimer: Previous Lap (3),Text,216,,,,,,,,,,UNMATCHED,,,Map Ratio (Primary)*,0.44
CALCULATED,LapTimer: Previous Lap (4),Text,217,,,,,,,,,,UNMATCHED,,,Map Ratio (Primary)*,0.44
CALCULATED,LapTimer: Previous Lap (5),Text,218,,,,,,,,,,UNMATCHED,,,Map Ratio (Primary)*,0.44
CALCULATED,LapTimer: Total Laps,-,228,,,,,,,,,,UNMATCHED,,,Throttle Plate Opening Angle (4-byte)*,0.50
CALCULATED,MAF (g/stroke),g/stroke,85,,,,,,,,,,UNMATCHED,,,Map Ratio (Primary)*,0.48
CALCULATED,MAX RPM,-,271,,,,,,,,,,UNMATCHED,,,Engine Speed,0.60
CALCULATED,My RealDash Status,Text,480,,,,,,,,,,UNMATCHED,,,CL/OL Fueling*,0.53
CALCULATED,Odometer (Calculated),Kilometers,78,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.76
CALCULATED,Oil Pressure (Simulated),Bar,391,,,,,,,,,,UNMATCHED,,,Atmospheric Pressure,0.60
CALCULATED,Power,-,206,,,,,,,,,,UNMATCHED,,,Estimated odometer,0.46
CALCULATED,RPM (Calculated),-,429,E59,Fixed Addr,position,Gear (Calculated)*,E59-Current manual transmission gear selection as estimated by the ECU based on vehicle speed and RPM.,-,-,-,Gear Position,MATCHED,0.83,Gear (Calculated)*,Gear (Calculated)*,0.83
CALCULATED,Range (Calculated),Kilometers,224,E59,Fixed Addr,position,Gear (Calculated)*,E59-Current manual transmission gear selection as estimated by the ECU based on vehicle speed and RPM.,-,-,-,Gear Position,MATCHED,0.84,Gear (Calculated)*,Gear (Calculated)*,0.84
CALCULATED,Serial parsing error count,-,398,,,,,,,,,,UNMATCHED,,,A/F Sensor #1 Current,0.46
CALCULATED,Speed (Gear Indicator & Ratio RPM),KPH,39,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.49
CALCULATED,Speed at 1/4 Mile,KPH,403,,,,,,,,,,UNMATCHED,,,Idle Speed Map Selection*,0.49
CALCULATED,Speed at 1/8 Mile,KPH,402,,,,,,,,,,UNMATCHED,,,Idle Speed Map Selection*,0.49
CALCULATED,Street Name,Text,69,,,,,,,,,,UNMATCHED,,,Target Throttle Plate Position*,0.46
CALCULATED,Tire revolutions per minute,-,734,,,,,,,,,,UNMATCHED,,,Map Ratio (Alternate)*,0.48
CALCULATED,Torque,nm,207,,,,,,,,,,UNMATCHED,,,Requested Torque*,0.55
CALCULATED,Trip A: Average Fuel Consumption,l/100km,204,,,,,,,,,,UNMATCHED,,,Fuel Consumption (Est.),0.60
CALCULATED,Trip A: Average Speed,KPH,205,,,,,,,,,,UNMATCHED,,,Vehicle Speed,0.53
CALCULATED,Trip A: Cost,-,373,,,,,,,,,,UNMATCHED,,,Target Boost (4-byte)*,0.50
CALCULATED,Trip A: Elevation Change,Meters,375,,,,,,,,,,UNMATCHED,,,A/F Learning Airflow Range (Current)*,0.51
CALCULATED,Trip A: Fuel Consumed,-,371,,,,,,,,,,UNMATCHED,,,Fuel Consumption (Est.),0.57
CALCULATED,Trip A: Max Speed,KPH,372,,,,,,,,,,UNMATCHED,,,Knock Correction Advance Max Primary*,0.50
CALCULATED,Trip A: Runtime,-,374,,,,,,,,,,UNMATCHED,,,Tip-in Throttle*,0.47
CALCULATED,Trip A: Tripmeter,Kilometers,79,,,,,,,,,,UNMATCHED,,,Estimated odometer,0.46
CALCULATED,Trip B: Average Fuel Consumption,l/100km,761,,,,,,,,,,UNMATCHED,,,Fuel Consumption (Est.),0.60
CALCULATED,Trip B: Average Speed,KPH,762,,,,,,,,,,UNMATCHED,,,Vehicle Speed,0.53
CALCULATED,Trip B: Cost,-,764,,,,,,,,,,UNMATCHED,,,Target Boost (4-byte)*,0.58
CALCULATED,Trip B: Elevation Change,Meters,774,,,,,,,,,,UNMATCHED,,,A/F Learning Airflow Range (Current)*,0.51
CALCULATED,Trip B: Fuel Consumed,-,760,,,,,,,,,,UNMATCHED,,,Fuel Consumption (Est.),0.57
CALCULATED,Trip B: Max Speed,KPH,763,,,,,,,,,,UNMATCHED,,,Engine Speed,0.48
CALCULATED,Trip B: Runtime,-,765,,,,,,,,,,UNMATCHED,,,Tip-in Throttle*,0.47
CALCULATED,Trip B: Tripmeter,Kilometers,355,,,,,,,,,,UNMATCHED,,,Estimated odometer,0.46
CALCULATED,Weather: Cloud cover (Net),-,386,,,,,,,,,,UNMATCHED,,,Atmospheric Pressure,0.43
CALCULATED,Weather: Country (Net),Text,377,,,,,,,,,,UNMATCHED,,,Primary Wastegate Duty Maximum* (4-byte)*,0.53
CALCULATED,Weather: Description (Net),Text,380,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.54
CALCULATED,Weather: Feels like temperature (Net),Celsius,381,,,,,,,,,,UNMATCHED,,,Fuel Temperature,0.68
CALCULATED,Weather: Humidity (Net),-,385,,,,,,,,,,UNMATCHED,,,Primary Wastegate Duty Maximum* (4-byte)*,0.51
CALCULATED,Weather: Place (Net),Text,379,,,,,,,,,,UNMATCHED,,,Battery Voltage,0.48
CALCULATED,Weather: Pressure (Net),Bar,384,,,,,,,,,,UNMATCHED,,,Atmospheric Pressure,0.72
CALCULATED,Weather: Region (Net),Text,378,,,,,,,,,,UNMATCHED,,,Blow-By Leak Connector,0.44
CALCULATED,Weather: Temperature (Net),Celsius,269,,,,,,,,,,UNMATCHED,,,Fuel Temperature,0.74
CALCULATED,Weather: UV Index (Net),-,387,,,,,,,,,,UNMATCHED,,,Primary Wastegate Duty Maximum* (4-byte)*,0.46
CALCULATED,Weather: Visibility (Net),-,388,,,,,,,,,,UNMATCHED,,,Battery Voltage,0.47
CALCULATED,Weather: Wind heading (Net),-,383,,,,,,,,,,UNMATCHED,,,Throttle Opening Angle,0.47
CALCULATED,Weather: Wind heading Text (Net),Text,390,,,,,,,,,,UNMATCHED,,,Fine Learning Table Offset*,0.46
CALCULATED,Weather: Wind speed (Net),KPH,382,,,,,,,,,,UNMATCHED,,,Engine Speed,0.51
OTHER,App Shutdown,On/Off,87,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.48
OTHER,App Started,-,86,,,,,,,,,,UNMATCHED,,,Primary Wastegate Duty Maximum* (4-byte)*,0.56
OTHER,Color Brightness Slider,-,376,,,,,,,,,,UNMATCHED,,,Roughness Monitor Cylinder #1,0.51
OTHER,Color Slider 1,-,366,,,,,,,,,,UNMATCHED,,,Roughness Monitor Cylinder #1,0.52
OTHER,Color Slider 2,-,367,,,,,,,,,,UNMATCHED,,,Roughness Monitor Cylinder #2,0.52
OTHER,Color Slider 3,-,368,,,,,,,,,,UNMATCHED,,,Roughness Monitor Cylinder #3,0.52
OTHER,Color Slider 4,-,369,,,,,,,,,,UNMATCHED,,,Roughness Monitor Cylinder #4,0.52
OTHER,Current dash page,-,404,,,,,,,,,,UNMATCHED,,,Intake OCV Current Left,0.55
OTHER,Currently Playing Album,Text,89,,,,,,,,,,UNMATCHED,,,Intake OCV Current Right,0.50
OTHER,Currently Playing Artist,Text,88,,,,,,,,,,UNMATCHED,,,Intake OCV Current Right,0.54
OTHER,Currently Playing Duration,-,278,,,,,,,,,,UNMATCHED,,,Intake OCV Current Right,0.51
OTHER,Currently Playing Folder,Text,488,,,,,,,,,,UNMATCHED,,,Intake OCV Current Right,0.49
OTHER,Currently Playing Position,-,279,,,,,,,,,,UNMATCHED,,,Target Throttle Plate Position*,0.61
OTHER,Currently Playing Title,Text,90,,,,,,,,,,UNMATCHED,,,Intake OCV Current Right,0.55
OTHER,Dash Data 01,-,788,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.50
OTHER,Dash Data 02,-,789,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #2,0.50
OTHER,Dash Data 03,-,790,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.44
OTHER,Dash Data 04,-,791,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.44
OTHER,Dash Data 05,-,792,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.44
OTHER,Dash Data 06,-,793,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.44
OTHER,Dash Data 07,-,794,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.44
OTHER,Dash Data 08,-,795,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.44
OTHER,Dash Data 09,-,796,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.44
OTHER,Dash Data 10,-,797,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.50
OTHER,Dash Data 11,-,798,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.50
OTHER,Dash Data 12,-,799,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.50
OTHER,Dash Data 13,-,800,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.50
OTHER,Dash Data 14,-,801,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.50
OTHER,Dash Data 15,-,802,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.50
OTHER,Dash Data 16,-,803,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.50
OTHER,Dash Data 17,-,804,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.50
OTHER,Dash Data 18,-,805,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.50
OTHER,Dash Data 19,-,806,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.50
OTHER,Dash Data 20,-,807,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #2,0.50
OTHER,Dummy 01,-,93,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 02,-,94,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 03,-,95,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 04,-,96,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 05,-,97,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 06,-,121,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 07,-,122,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 08,-,123,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 09,-,124,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 10,-,125,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 11,-,126,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 12,-,127,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 13,-,128,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 14,-,129,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 15,-,130,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 16,-,131,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 17,-,132,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 18,-,133,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 19,-,134,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
OTHER,Dummy 20,-,135,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Left,0.38
